asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
abrocitinib,NCT06807268,PHASE3,RECRUITING,2027-05-02,Eczema,experimental,Pfizer,PFIZER INC,PFE
abrocitinib,NCT06807281,PHASE3,RECRUITING,2032-02-22,Atopic Dermatitis,experimental,Pfizer,PFIZER INC,PFE
acasunlimab,NCT06635824,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,"PD-L1-positive, Locally Advanced (Unresectable Stage IIIB/C) or Metastatic NSCLC",experimental,Genmab,GENMAB A/S,GMAB
alectinib,NCT03178552,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-10-31,Non-Small Cell Lung Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT03768063,PHASE3,ACTIVE_NOT_RECRUITING,2028-07-05,Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT05170204,PHASE3,ACTIVE_NOT_RECRUITING,2030-06-16,Non-Small Cell Lung Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT05722886,PHASE2;PHASE3,RECRUITING,2029-10,Haematological Malignancy; Solid Tumour,experimental,Cancer Research UK,,
alectinib,NCT05770037,PHASE2;PHASE3,RECRUITING,2029-10,Haematological Malignancy; Malignant Neoplasm; Lymphoproliferative Disorders; Neoplasms by Histologic Type; Neoplasms by Site; Cancer; Anaplastic Large Cell Lymphoma; Lymphoma; Renal Cell Carcinoma; Neuroblastoma; Solid Tumour,experimental,Cancer Research UK,,
alectinib,NCT06765109,PHASE3,RECRUITING,2029-12,Non-small Cell Lung Cancer; Anaplastic Lymphoma Kinase-positive,active_comparator,Nuvalent Inc.,"Nuvalent, Inc.",NUVL
anifrolumab,NCT04877691,PHASE3,ACTIVE_NOT_RECRUITING,2025-08-22,Systemic Lupus Erythematosus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT05138133,PHASE3,ACTIVE_NOT_RECRUITING,2027-02-26,Lupus Nephritis,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT05835310,PHASE3,RECRUITING,2028-10-05,Systemic Lupus Erythematosus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT07430306,PHASE3,RECRUITING,2029-01-26,Systemic Lupus Erythematosus,other,AstraZeneca,ASTRAZENECA PLC,AZN
