event_date,ticker,asset,event_type,event_window,date_precision,confidence,source,nct_id,source_url
2026-07-18,BMY,mezigdomide,READOUT,"Jul 18, 2026",day,medium,clinicaltrials,NCT05552976,https://clinicaltrials.gov/study/NCT05552976
2026-07-25,BMY,deucravacitinib,READOUT,"Jul 25, 2026",day,medium,clinicaltrials,NCT04036435,https://clinicaltrials.gov/study/NCT04036435
2026-07-27,REGN,fianlimab,READOUT,"Jul 27, 2026",day,medium,clinicaltrials,NCT05608291,https://clinicaltrials.gov/study/NCT05608291
2026-07-31,HRMY,pitolisant,READOUT,Jul 2026,month,medium,clinicaltrials,NCT06366464,https://clinicaltrials.gov/study/NCT06366464
2026-07-31,LXRX,sotagliflozin,READOUT,Jul 2026,month,medium,clinicaltrials,NCT06481891,https://clinicaltrials.gov/study/NCT06481891
2026-07-31,JAZZ,zanidatamab,READOUT,"Jul 31, 2026",day,medium,clinicaltrials,NCT05152147,https://clinicaltrials.gov/study/NCT05152147
2026-08-01,MRK,tulisokibart,READOUT,"Aug 1, 2026",day,medium,clinicaltrials,NCT06052059,https://clinicaltrials.gov/study/NCT06052059
2026-08-24,AZN,camizestrant,READOUT,"Aug 24, 2026",day,medium,clinicaltrials,NCT04711252,https://clinicaltrials.gov/study/NCT04711252
2026-08-30,PFE,elranatamab,READOUT,"Aug 30, 2026",day,medium,clinicaltrials,NCT06152575,https://clinicaltrials.gov/study/NCT06152575
2026-08-31,PHVS,deucrictibant,READOUT,Aug 2026,month,medium,clinicaltrials,NCT06669754,https://clinicaltrials.gov/study/NCT06669754
2026-08-31,SBFM,lerotinib,READOUT,Aug 2026,month,medium,clinicaltrials,NCT04415853,https://clinicaltrials.gov/study/NCT04415853
2026-08-31,SLGL,patidegib,READOUT,Aug 2026,month,medium,clinicaltrials,NCT06050122,https://clinicaltrials.gov/study/NCT06050122
2026-08-31,LLY,retatrutide,READOUT,Aug 2026,month,medium,clinicaltrials,NCT06260722,https://clinicaltrials.gov/study/NCT06260722
2026-09-01,INCY,tafasitamab,READOUT,"Sep 1, 2026",day,medium,clinicaltrials,NCT04824092,https://clinicaltrials.gov/study/NCT04824092
2026-09-27,BIIB,litifilimab,READOUT,"Sep 27, 2026",day,medium,clinicaltrials,NCT04961567,https://clinicaltrials.gov/study/NCT04961567
2026-09-28,MLTX,sonelokimab,READOUT,"Sep 28, 2026",day,medium,clinicaltrials,NCT06768671,https://clinicaltrials.gov/study/NCT06768671
2026-09-30,AZN,datopotamab deruxtecan,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT06417814,https://clinicaltrials.gov/study/NCT06417814
2026-09-30,KURA,daunorubicin,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT03117751,https://clinicaltrials.gov/study/NCT03117751
2026-09-30,DAN,erwinia asparaginase,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT03117751,https://clinicaltrials.gov/study/NCT03117751
2026-09-30,BIIB,litifilimab,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT04895241,https://clinicaltrials.gov/study/NCT04895241
2026-09-30,DAN,mercaptopurine,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT03117751,https://clinicaltrials.gov/study/NCT03117751
2026-09-30,AZN,monalizumab,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT05221840,https://clinicaltrials.gov/study/NCT05221840
2026-09-30,DAN,nelarabine,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT03117751,https://clinicaltrials.gov/study/NCT03117751
2026-09-30,AZN,oleclumab,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT05221840,https://clinicaltrials.gov/study/NCT05221840
2026-09-30,DAN,pegaspargase,READOUT,"Sep 30, 2026",day,medium,clinicaltrials,NCT03117751,https://clinicaltrials.gov/study/NCT03117751
2026-10-19,BMY,deucravacitinib,READOUT,"Oct 19, 2026",day,medium,clinicaltrials,NCT05617677,https://clinicaltrials.gov/study/NCT05617677
2026-10-20,BIIB,litifilimab,READOUT,"Oct 20, 2026",day,medium,clinicaltrials,NCT05531565,https://clinicaltrials.gov/study/NCT05531565
2026-10-26,NVS,inclisiran,READOUT,"Oct 26, 2026",day,medium,clinicaltrials,NCT05360446,https://clinicaltrials.gov/study/NCT05360446
2026-10-28,MRK,belzutifan,READOUT,"Oct 28, 2026",day,medium,clinicaltrials,NCT05239728,https://clinicaltrials.gov/study/NCT05239728
2026-10-29,MRK,belzutifan,READOUT,"Oct 29, 2026",day,medium,clinicaltrials,NCT04736706,https://clinicaltrials.gov/study/NCT04736706
2026-10-31,NUVL,alectinib,READOUT,"Oct 31, 2026",day,medium,clinicaltrials,NCT03178552,https://clinicaltrials.gov/study/NCT03178552
2026-10-31,VTRS,cenerimod,READOUT,"Oct 31, 2026",day,medium,clinicaltrials,NCT05648500,https://clinicaltrials.gov/study/NCT05648500
2026-10-31,IMMP,eftilagimod alpha,READOUT,"Oct 31, 2026",day,medium,clinicaltrials,NCT05747794,https://clinicaltrials.gov/study/NCT05747794
